DEBUG:18/03/2025 17:46:40 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316400.1582088

DEBUG:18/03/2025 17:46:41 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316401.1593912

DEBUG:18/03/2025 17:46:42 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316402.1611362

DEBUG:18/03/2025 17:46:43 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316403.163007

DEBUG:18/03/2025 17:46:44 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316404.1649792

DEBUG:18/03/2025 17:46:44 Executing finally clause.
DEBUG:18/03/2025 17:48:39 Medida(media, maximo, minimo)=-1,-1,-1 dB    Time=2025-03-18 17:48:39

DEBUG:18/03/2025 17:48:40 Medida(media, maximo, minimo)=-1,-1,-1 dB    Time=2025-03-18 17:48:40

DEBUG:18/03/2025 17:48:41 Medida(media, maximo, minimo)=-1,-1,-1 dB    Time=2025-03-18 17:48:41

DEBUG:18/03/2025 17:48:42 Medida(media, maximo, minimo)=-1,-1,-1 dB    Time=2025-03-18 17:48:42

DEBUG:18/03/2025 17:48:43 Medida(media, maximo, minimo)=-1,-1,-1 dB    Time=2025-03-18 17:48:43

DEBUG:18/03/2025 17:48:44 Medida(media, maximo, minimo)=-1,-1,-1 dB    Time=2025-03-18 17:48:44

DEBUG:18/03/2025 17:48:45 Medida(media, maximo, minimo)=-1,-1,-1 dB    Time=2025-03-18 17:48:45

DEBUG:18/03/2025 17:48:46 Medida(media, maximo, minimo)=-1,-1,-1 dB    Time=2025-03-18 17:48:46

DEBUG:18/03/2025 18:02:25 matplotlib data path: c:\Users\Very\miniconda3\envs\ELECTRO\Lib\site-packages\matplotlib\mpl-data
DEBUG:18/03/2025 18:02:25 CONFIGDIR=C:\Users\Very\.matplotlib
DEBUG:18/03/2025 18:02:25 interactive is False
DEBUG:18/03/2025 18:02:25 platform is win32
DEBUG:18/03/2025 18:02:25 CACHEDIR=C:\Users\Very\.matplotlib
DEBUG:18/03/2025 18:02:25 Using fontManager instance from C:\Users\Very\.matplotlib\fontlist-v390.json
DEBUG:18/03/2025 18:02:34 Medida(media, maximo)=-1,-1 dB    Time=2025-03-18 18:02:34

DEBUG:18/03/2025 18:02:35 Medida(media, maximo)=-1,-1 dB    Time=2025-03-18 18:02:35

DEBUG:18/03/2025 18:02:36 Medida(media, maximo)=-1,-1 dB    Time=2025-03-18 18:02:36

DEBUG:18/03/2025 18:02:37 Medida(media, maximo)=-1,-1 dB    Time=2025-03-18 18:02:37

DEBUG:18/03/2025 18:02:38 Medida(media, maximo)=-1,-1 dB    Time=2025-03-18 18:02:38

DEBUG:18/03/2025 18:02:39 Medida(media, maximo)=-1,-1 dB    Time=2025-03-18 18:02:39

DEBUG:18/03/2025 18:02:40 Medida(media, maximo)=-1,-1 dB    Time=2025-03-18 18:02:40

DEBUG:18/03/2025 18:02:41 Medida(media, maximo)=-1,-1 dB    Time=2025-03-18 18:02:41

DEBUG:18/03/2025 18:02:42 Medida(media, maximo)=-1,-1 dB    Time=2025-03-18 18:02:42

DEBUG:18/03/2025 18:02:43 Medida(media, maximo)=-1,-1 dB    Time=2025-03-18 18:02:43

DEBUG:18/03/2025 18:02:43 Executing finally clause.
DEBUG:18/03/2025 18:02:46 Loaded backend module://matplotlib_inline.backend_inline version unknown.
DEBUG:18/03/2025 18:02:46 Loaded backend module://matplotlib_inline.backend_inline version unknown.
DEBUG:18/03/2025 18:02:46 findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
DEBUG:18/03/2025 18:02:46 findfont: score(FontEntry(fname='c:\\Users\\Very\\miniconda3\\envs\\ELECTRO\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
DEBUG:18/03/2025 18:02:46 findfont: score(FontEntry(fname='c:\\Users\\Very\\miniconda3\\envs\\ELECTRO\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
DEBUG:18/03/2025 18:02:46 findfont: score(FontEntry(fname='c:\\Users\\Very\\miniconda3\\envs\\ELECTRO\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
DEBUG:18/03/2025 18:02:46 findfont: score(FontEntry(fname='c:\\Users\\Very\\miniconda3\\envs\\ELECTRO\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
DEBUG:18/03/2025 18:02:46 findfont: score(FontEntry(fname='c:\\Users\\Very\\miniconda3\\envs\\ELECTRO\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
DEBUG:18/03/2025 18:02:46 findfont: score(FontEntry(fname='c:\\Users\\Very\\miniconda3\\envs\\ELECTRO\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
DEBUG:18/03/2025 18:02:46 findfont: score(FontEntry(fname='c:\\Users\\Very\\miniconda3\\envs\\ELECTRO\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
DEBUG:18/03/2025 18:02:46 findfont: score(FontEntry(fname='c:\\Users\\Very\\miniconda3\\envs\\ELECTRO\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
DEBUG:18/03/2025 18:02:46 findfont: score(FontEntry(fname='c:\\Users\\Very\\miniconda3\\envs\\ELECTRO\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
DEBUG:18/03/2025 18:02:46 findfont: score(FontEntry(fname='c:\\Users\\Very\\miniconda3\\envs\\ELECTRO\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
DEBUG:18/03/2025 18:02:46 findfont: score(FontEntry(fname='c:\\Users\\Very\\miniconda3\\envs\\ELECTRO\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
DEBUG:18/03/2025 18:02:46 findfont: score(FontEntry(fname='c:\\Users\\Very\\miniconda3\\envs\\ELECTRO\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymBol.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
DEBUG:18/03/2025 18:02:46 findfont: score(FontEntry(fname='c:\\Users\\Very\\miniconda3\\envs\\ELECTRO\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
DEBUG:18/03/2025 18:02:46 findfont: score(FontEntry(fname='c:\\Users\\Very\\miniconda3\\envs\\ELECTRO\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
DEBUG:18/03/2025 18:02:46 findfont: score(FontEntry(fname='c:\\Users\\Very\\miniconda3\\envs\\ELECTRO\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
DEBUG:18/03/2025 18:02:46 findfont: score(FontEntry(fname='c:\\Users\\Very\\miniconda3\\envs\\ELECTRO\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
